importar?;polígono?;Comunidade;name;description;folder;type;geometry
não;;cidade-de-deus;área atuação ACOPROVI;;Cidade de Deus - Mapa PCU;polys;[u'-43.36309032235108,-22.9459452952938,0', u'-43.36327236647619,-22.94609431254929,0', u'-43.36339372900022,-22.94622470243172,0', u'-43.36349486366643,-22.94637371933085,0', u'-43.36359599707269,-22.94661587222534,0', u'-43.36369713261249,-22.94674626108768,0', u'-43.36391963468843,-22.94685802071838,0', u'-43.36402077080096,-22.94700703627579,0', u'-43.36408145136996,-22.94717467911769,0', u'-43.36418258726167,-22.94736094775188,0', u'-43.36424326835586,-22.94752859018904,0', u'-43.36440508889076,-22.94767760295036,0', u'-43.3645062262277,-22.94786387063317,0', u'-43.36456690759527,-22.94810601945201,0', u'-43.36474895724645,-22.94831091175803,0', u'-43.3647691840623,-22.94847855300834,0', u'-43.36485009531619,-22.94866481975942,0', u'-43.3649107784516,-22.94886971344644,0', u'-43.364890549844,-22.94911186176353,0', u'-43.36478940896389,-22.94935401077851,0', u'-43.36470849680255,-22.94957753207667,0', u'-43.36460735629521,-22.94976379995665,0', u'-43.3645264441738,-22.94998732034109,0', u'-43.36446576023425,-22.95022946688772,0', u'-43.36440507627025,-22.95039710668164,0', u'-43.3642432520074,-22.95056474686153,0', u'-43.36416234018211,-22.95076963945576,0', u'-43.36414211275371,-22.95097453170787,0', u'-43.36400051658865,-22.95116079750421,0', u'-43.36389937637311,-22.95130980993861,0', u'-43.36387914909281,-22.95153332858299,0', u'-43.36373755249853,-22.95162646107914,0', u'-43.3635150433925,-22.95158920733342,0', u'-43.36331276285606,-22.951589206501,0', u'-43.36311048262178,-22.95162645845768,0', u'-43.36292843046079,-22.95168233681775,0', u'-43.36246318646115,-22.95186859782303,0', u'-43.36226090697238,-22.95188722221145,0', u'-43.36203840002197,-22.95188721962638,0', u'-43.36159338274156,-22.95216661092727,0', u'-43.36153269871998,-22.95218523653135,0', u'-43.36139110106042,-22.95233424639186,0', u'-43.36118881863529,-22.95252050821084,0', u'-43.36100676458258,-22.95265089069601,0', u'-43.36076402501021,-22.95283715171836,0', u'-43.3606426553234,-22.95291165572564,0', u'-43.36048082759503,-22.95306066515504,0', u'-43.36017740382933,-22.95317241861372,0', u'-43.36003580620104,-22.9532096686582,0', u'-43.35979306500492,-22.95334004985989,0', u'-43.35963123875192,-22.9533772995121,0', u'-43.3593682727954,-22.95337729331978,0', u'-43.3591659917883,-22.95335866170505,0', u'-43.35892325430103,-22.95334002890457,0', u'-43.35866028762166,-22.9533400220438,0', u'-43.3584984598614,-22.95337727112027,0', u'-43.35825572246075,-22.95334001101239,0', u'-43.35821527382778,-22.953172369718,0', u'-43.35825574353882,-22.95289297106605,0', u'-43.35837712440039,-22.95263220207291,0', u'-43.35857942335337,-22.95220379728535,0', u'-43.3591458410264,-22.95123523650578,0', u'-43.35953019545496,-22.95035980420751,0', u'-43.35957065739892,-22.95013628787413,0', u'-43.35965158221352,-22.94963337518424,0', u'-43.35967181184035,-22.94955886974973,0', u'-43.35973250167031,-22.94929810007236,0', u'-43.35971228039345,-22.94907458096262,0', u'-43.35973251497115,-22.94881380952677,0', u'-43.35973252001858,-22.94862754340274,0', u'-43.35977298178538,-22.94836677131546,0', u'-43.35983366935483,-22.94816187929261,0', u'-43.36001572365446,-22.94784522918552,0', u'-43.36009663674656,-22.94769621703103,0', u'-43.36013709643877,-22.94749132276042,0', u'-43.36013710147041,-22.94728642693518,0', u'-43.36027869620577,-22.94713741460299,0', u'-43.36050120123537,-22.94693252252483,0', u'-43.36066302122486,-22.94685801750073,0', u'-43.36084506718689,-22.94683939384199,0', u'-43.36104734379621,-22.94667175334867,0', u'-43.36133052746907,-22.94659724844457,0', u'-43.36163393693752,-22.94659725132734,0', u'-43.36191712220282,-22.9464668630114,0', u'-43.3623014473668,-22.94620608226436,0', u'-43.36288805142632,-22.94577765022929,0', u'-43.36309032235108,-22.9459452952938,0']
não;;cidade-de-deus;GAL  ACOPROVI;Primera area de atuação do GAL  ACOPROVI;Cidade de Deus - Mapa PCU;point;[u'-43.36109805348831,-22.95178969383062,0']
não;;cidade-de-deus;E.M. Augusto Magine;;Cidade de Deus - Mapa PCU;point;[u'-43.3627026417016,-22.95109163570611,0']
O;sim;cidade-de-deus;C.E. Alphonsus Guimarães;;Cidade de Deus - Mapa PCU;point;[u'-43.35897387761506,-22.95074770915406,0']
O;sim;cidade-de-deus;E. M. Leila Barcellos;;Cidade de Deus - Mapa PCU;point;[u'-43.36198521306232,-22.95080889427307,0']
O;sim;cidade-de-deus;P.S. Hamilton;Atende a comunidade sem dialogo nenhum;Cidade de Deus - Mapa PCU;point;[u'-43.35921977205128,-22.950192860892,0']
não;;cidade-de-deus;DPO;DPO;Cidade de Deus - Mapa PCU;point;[u'-43.35946849642142,-22.94995604138089,0']
não;;cidade-de-deus;Patrulha policial;Patrulha policial<br>Carro da policia;Cidade de Deus - Mapa PCU;point;[u'-43.36245739455343,-22.94878627812804,0']
não;;cidade-de-deus;Cabine da Policia;Cabine da Policia<br>Ronda policial;Cidade de Deus - Mapa PCU;point;[u'-43.360394191986,-22.94753311768397,0']
não;;cidade-de-deus;Cabine Policial Linha Amarela;Cabine Policial Linha Amarela<br>Ronda Policial;Cidade de Deus - Mapa PCU;point;[u'-43.35754368516862,-22.95351385416599,0']
