importação;transformar para polígono?;comunidade associada;name;description;folder;type;geometry;
;;;Área GAL Tijuaçu;furnas, fazenda, agrícola, ricardinho, biquinha, matamachado;PCU  RJ - jul 2010;polys;[u'-43.29775903113535,-22.97827962763863,0', u'-43.29672452248652,-22.98235752947846,0', u'-43.2998782160907,-22.98148472683252,0', u'-43.30044596977594,-22.98163209360417,0', u'-43.30064459523015,-22.98208945769546,0', u'-43.29981360678885,-22.98272657136219,0', u'-43.29986822660375,-22.98407941448681,0', u'-43.30033402847932,-22.98501581089799,0', u'-43.30017322703537,-22.98578495164431,0', u'-43.29701162535312,-22.98652544719977,0', u'-43.29333659610149,-22.98408774264623,0', u'-43.29137723513927,-22.98107849472175,0', u'-43.29042084506661,-22.97770326080641,0', u'-43.28719378007346,-22.97596269349236,0', u'-43.28615196533041,-22.97695427300921,0', u'-43.28509831200993,-22.97676590417825,0', u'-43.28466953952662,-22.97691280680273,0', u'-43.28453732752985,-22.97677336750776,0', u'-43.28400155041097,-22.97686525365336,0', u'-43.28380711566297,-22.97709116403411,0', u'-43.2834648659467,-22.97716631235221,0', u'-43.28334861188898,-22.97734813077337,0', u'-43.28204724021261,-22.97696605388391,0', u'-43.28163597045714,-22.97655517062562,0', u'-43.281593498395,-22.97621775064856,0', u'-43.28159056439345,-22.97590205616078,0', u'-43.28132556068908,-22.97290034138042,0', u'-43.283833111654,-22.97076777321371,0', u'-43.2857224921632,-22.97036199805416,0', u'-43.29125721728975,-22.9772797427943,0', u'-43.28880056197149,-22.97433521334871,0', u'-43.28863619869195,-22.97441131626342,0', u'-43.28852714120695,-22.97454155769702,0', u'-43.28832608210458,-22.97492812251377,0', u'-43.29204561385303,-22.97588543373959,0', u'-43.29567239746626,-22.97704907961638,0', u'-43.29775903113535,-22.97827962763863,0'];
;;;Area de abrangência do GAL União;<div dir='ltr'> - Rua Leopoldo<br> - Rua Andaraí<br> - Ria São Estevão<br> - Rua Sá Viana<br> - Rua Santo Agostinho<br> - Rua Adolpho Caminha<br> - Rua Borda do Mato</div>;PCU  RJ - jul 2010;polys;[u'-43.254761,-22.932726,0', u'-43.255383,-22.933475,0', u'-43.256134,-22.934702,0', u'-43.256737,-22.935234,0', u'-43.258045,-22.935333,0', u'-43.258923,-22.935314,0', u'-43.259827,-22.93569,0', u'-43.26049,-22.934919,0', u'-43.260468,-22.934464,0', u'-43.260082,-22.93391,0', u'-43.259846,-22.933416,0', u'-43.259418,-22.932844,0', u'-43.259312,-22.93227,0', u'-43.25901,-22.931795,0', u'-43.259911,-22.931934,0', u'-43.260124,-22.931934,0', u'-43.260361,-22.93148,0', u'-43.260212,-22.930729,0', u'-43.259827,-22.930058,0', u'-43.258797,-22.929682,0', u'-43.258022,-22.929802,0', u'-43.258129,-22.930452,0', u'-43.257637,-22.93071,0', u'-43.256973,-22.930511,0', u'-43.256199,-22.930571,0', u'-43.255211,-22.930887,0', u'-43.254913,-22.931679,0', u'-43.254761,-22.932726,0'];
;;;Área de abrangência do GAl O Futuro é Agora;"<div dir='ltr'> - Estada da Independência
<br> - Travessa Maria de lourdes
<br> - Travessa Adeline
<br> - Travessa Chagas
<br> - Vila Nova
<br> - Ladeira da Piedade
<br> - Travessa Eraldo
<br> - Ladeira do Adalto
<br> - Travessa Enoque
<br> - Travessa Itamar
<br> - Travessa São José
<br> - Vila São Pedro
<br> - Travessa Belacap
<br> - Travessa da Igreja
<br> - Subida da Getúlio</div>";PCU  RJ - jul 2010;polys;[u'-43.25502,-22.939711,0', u'-43.255394,-22.939564,0', u'-43.255642,-22.939375,0', u'-43.255589,-22.939276,0', u'-43.25563,-22.93915700000001,0', u'-43.2556,-22.93903,0', u'-43.255447,-22.938971,0', u'-43.255371,-22.93885,0', u'-43.255482,-22.938732,0', u'-43.255417,-22.938545,0', u'-43.255276,-22.938446,0', u'-43.255138,-22.938356,0', u'-43.254974,-22.93821,0', u'-43.254578,-22.93821,0', u'-43.254311,-22.938278,0', u'-43.254009,-22.938309,0', u'-43.253838,-22.938089,0', u'-43.253754,-22.93825,0', u'-43.253635,-22.938377,0', u'-43.25341,-22.938396,0', u'-43.253281,-22.938583,0', u'-43.253239,-22.938744,0', u'-43.253239,-22.938871,0', u'-43.253323,-22.939039,0', u'-43.25341,-22.939226,0', u'-43.253582,-22.939375,0', u'-43.253765,-22.939474,0', u'-43.253925,-22.939543,0', u'-43.254192,-22.939671,0', u'-43.254494,-22.939732,0', u'-43.254749,-22.939751,0', u'-43.25502,-22.939711,0'];
;;;Área de abrangência do Gal Renovação;Área de abrangência do Gal Renovação;PCU  RJ - jul 2010;polys;[u'-43.215042,-22.922894,0', u'-43.215611,-22.92321000000001,0', u'-43.21674,-22.92399,0', u'-43.21703,-22.924297,0', u'-43.21722,-22.924652,0', u'-43.217426,-22.925077,0', u'-43.217457,-22.925444,0', u'-43.217262,-22.925879,0', u'-43.216923,-22.926292,0', u'-43.216545,-22.926392,0', u'-43.216232,-22.926451,0', u'-43.215816,-22.92642,0', u'-43.21545,-22.926332,0', u'-43.214958,-22.926283,0', u'-43.214539,-22.926382,0', u'-43.213852,-22.926105,0', u'-43.213467,-22.925888,0', u'-43.213207,-22.925571,0', u'-43.212673,-22.92523600000001,0', u'-43.21265,-22.924938,0', u'-43.213005,-22.92477,0', u'-43.213383,-22.924978,0', u'-43.213661,-22.925196,0', u'-43.213886,-22.925413,0', u'-43.214153,-22.92564,0', u'-43.214413,-22.925758,0', u'-43.214573,-22.925552,0', u'-43.214722,-22.925295,0', u'-43.214527,-22.925156,0', u'-43.214325,-22.924879,0', u'-43.214336,-22.924614,0', u'-43.214462,-22.924198,0', u'-43.214508,-22.923754,0', u'-43.214592,-22.923416,0', u'-43.214722,-22.923052,0', u'-43.215042,-22.922894,0'];
;;;Area de abrangência do GAL Sempre Unidos;Area de abrangência do GAL Sempre Unidos;PCU  RJ - jul 2010;polys;[u'-43.252144,-22.911282,0', u'-43.248924,-22.91057,0', u'-43.247509,-22.910135,0', u'-43.246437,-22.909622,0', u'-43.243004,-22.908516,0', u'-43.240814,-22.908079,0', u'-43.239056,-22.908159,0', u'-43.238667,-22.910215,0', u'-43.237896,-22.911402,0', u'-43.236523,-22.912666,0', u'-43.235878,-22.914721,0', u'-43.235748,-22.915195,0', u'-43.236481,-22.91555,0', u'-43.239056,-22.915907,0', u'-43.24017,-22.916183,0', u'-43.241158,-22.91646,0', u'-43.242573,-22.91665800000001,0', u'-43.244247,-22.916973,0', u'-43.245792,-22.91741,0', u'-43.247295,-22.917566,0', u'-43.249142,-22.917923,0', u'-43.253731,-22.918713,0', u'-43.256649,-22.919188,0', u'-43.258625,-22.919622,0', u'-43.260597,-22.919464,0', u'-43.26223,-22.918713,0', u'-43.262959,-22.91780500000001,0', u'-43.262875,-22.91614300000001,0', u'-43.26416,-22.914127,0', u'-43.262402,-22.91231,0', u'-43.2603,-22.91231,0', u'-43.256779,-22.911638,0', u'-43.252144,-22.911282,0'];
;;;Área de Abrangência dos Gal Desenvolver;<div dir='ltr'> - Rua Antonieta<br> - Av. dos Portugueses<br> - Rua Tenente Veríssimo<br> - Vila São Sebastião</div>;PCU  RJ - jul 2010;polys;[u'-43.225643,-22.930313,0', u'-43.225975,-22.930592,0', u'-43.226395,-22.930592,0', u'-43.226707,-22.930523,0', u'-43.22694,-22.930571,0', u'-43.226898,-22.930958,0', u'-43.226727,-22.931173,0', u'-43.226601,-22.931322,0', u'-43.22649,-22.93152,0', u'-43.2262,-22.931717,0', u'-43.226105,-22.932005,0', u'-43.225998,-22.932152,0', u'-43.225677,-22.932232,0', u'-43.225483,-22.932232,0', u'-43.225311,-22.932014,0', u'-43.225388,-22.931787,0', u'-43.225677,-22.931627,0', u'-43.225761,-22.931421,0', u'-43.225559,-22.931273,0', u'-43.225342,-22.931381,0', u'-43.22533,-22.931194,0', u'-43.225407,-22.930965,0', u'-43.225212,-22.930878,0', u'-43.225021,-22.930779,0', u'-43.224819,-22.930592,0', u'-43.224648,-22.930403,0', u'-43.224613,-22.930244,0', u'-43.224697,-22.92999800000001,0', u'-43.224979,-22.929989,0', u'-43.225204,-22.930086,0', u'-43.225494,-22.930166,0', u'-43.225643,-22.930313,0'];
;;;Area de abrangência do GAl  Mobilização;<div dir='ltr'> - Rua Ferreira de Araújo<br> - Rua Santo Antônio = Uga Uga<br> - Rua Dona Camila<br> - Rua Expedicionário<br> - Beco Eunice Rodriguas<br> - Viaduto Ataufo Alves<br> - Rua Amazonas<br></div>;PCU  RJ - jul 2010;polys;[u'-43.232521,-22.887344,0', u'-43.232059,-22.887375,0', u'-43.231461,-22.887344,0', u'-43.230804,-22.887245,0', u'-43.230438,-22.887037,0', u'-43.229977,-22.88689,0', u'-43.229443,-22.886444,0', u'-43.228519,-22.885674,0', u'-43.227856,-22.88526,0', u'-43.227112,-22.885782,0', u'-43.226662,-22.886267,0', u'-43.227158,-22.886642,0', u'-43.227703,-22.887148,0', u'-43.227833,-22.888117,0', u'-43.227478,-22.888708,0', u'-43.228188,-22.889242,0', u'-43.228745,-22.88950000000001,0', u'-43.229153,-22.889658,0', u'-43.229336,-22.890074,0', u'-43.229076,-22.891376,0', u'-43.228928,-22.892118,0', u'-43.228916,-22.892485,0', u'-43.23045,-22.892485,0', u'-43.231106,-22.89247500000001,0', u'-43.232552,-22.89201900000001,0', u'-43.234131,-22.891832,0', u'-43.234379,-22.89118,0', u'-43.234203,-22.890509,0', u'-43.234077,-22.89027,0', u'-43.233303,-22.88950000000001,0', u'-43.232746,-22.888887,0', u'-43.232628,-22.887316,0', u'-43.232059,-22.887375,0', u'-43.232521,-22.887344,0'];
;;;Ação - PQ. COLÚMBIA (Pavuna);OBS: após a remoção por conta das chuvas de 2010 o GAL vai redefinir a sua área de atuação.;PCU  RJ - jul 2010;point;[u'-43.35036878479962,-22.82164795715903,0'];
;;;Amigos do Meio Ambiente - BAIRRO ARAÚJO (Vista Alegre);"comunidade : Vista Alegre                                 
historia do bairro : A partir da construçao da fábrica de cimento, o INSS construiu oconjunto de apartamentos 1525 para os funcionarios. No terreno atrás dos conjuntos foram construídas escolas para os filhos e os próprios funcionários da fábrica estudarem. A partir destes terrenos,  os mesmos ficaram vazios e eram usados para desovas de corpos, com muito mato, assaltos... os próprios moradores dos conjuntos começaram uma invasão e foram construídas as casas das ruas acima dos conjuntos.
Hoje, depois de 17 anos ainda não conseguimos a legalizaçao da posse e só agora estamos regularizando nosso fornecimento de água. 
Com isso o bairro de Vista Alegre ganhou um novo sub bairro, e com  a ocupaçao acabaram as desovas e o terreno foi urbanizado com mais de 5 ruas. HOje nós temos mai de 400 famílias morando em terenos da invasão.
No nosso mapeamento não há Casas lotéricas, Correios e posto de saúde, além de PFS, nem projetos para ceianças e adolescentes.";PCU  RJ - jul 2010;point;[u'-43.31650665474273,-22.82407497136685,0'];
;;;Atitude - QUITUNGO (Brás de Pina);"Área de atuação: Quitungo e Favela da Mangueirinha. 
Comunidade do Quitungo:
A comunidade do Quitungo é um conjunto habitacional.
Composição do Gal: Olivart Centro Cultural,Associação de Moradores,Projeto ASKS,Projeto de Reciclagem,Grupo de Comunidade,Grupo de Jovens<Grupo Esportivo e a Divisão de Combate a Dengue.";PCU  RJ - jul 2010;point;[u'-43.29931999991074,-22.83419599997639,0'];
